CODASG;NOMASG;NHTASG;NHPASG;CREASG
1310;INTR. A LA ECONOMIA;3;0;3
1312;MACROECONOMIA;4;0;4
1321;TEORIA ECONOMICA;3;0;2
1323;ECONOMIA COLOMBIANA;2;0;2
1324;DESARROLLO ECONOMICO;2;0;2
1325;SEM. ECONOMIA COLOMBIANA;2;0;2
1327;ECONOMIA POLITICA;2;0;2
1350;ESTADISTICA;3;0;3
1351;ESTADISTICA EDUCACIONAL;3;2;3
1352;ANALISIS ESTADISTICO;4;0;3
1355;ESTADISTICA I;3;0;3
1356;ESTADISTICA I;4;0;4
1357;ESTADISTICA II;3;0;3
1359;ESTADISTICA II;4;0;4
1364;COMERCIO EXTERIOR;4;0;3
1377;FUNDAMENTOS DE MERCADEO;3;0;3
1400;ELECTIVA PROFESIONAL I;2;0;2
1401;ELECTIVA PROFESIONAL II;2;0;2
1402;ELECTIVA PROFESIONAL III;2;0;2
1410;ADMON EDUCATIVA I;3;0;3
1411;ELEMENTOS DE ADMON.;3;0;3
1412;FUNDAMENTOS DE ADMON.;4;0;4
1414;ADMINISTRACION DE SEGURO;2;0;2
1415;ADMON EDUCATIVA II;3;0;3
1416;PROCESOS ADMINISTRATIVOS;4;0;4
1417;MET. Y PROCED. ADMITIVOS;2;0;2
1418;PROCESOS ADMINISTRATIVOS;2;0;2
1419;COMUNICACIONES EN LA EMP;2;0;2
1420;FUNDAMENTOS COMERCIALES;2;0;2
1421;INTR A LA CONTABILIDAD;3;0;3
1423;COMPOR HUMANO EN LA ORG;3;0;3
1425;ADMON RECURSO HUMANOS I;3;0;3
1426;ADMON RECURSO HUMANOS II;3;0;3
1428;ADM. DE LA MANUFACTURA;3;0;3
1430;GERENCIA ESTRATEGICA;4;0;4
1431;MERCADOS;3;0;3
1432;PUBLICIDAD;2;0;2
1433;DES. DE PRODUCTOS NUEVOS;2;0;2
1434;FUNDAMENTOS DE MERCADEO;4;0;3
1435;INVESTIGACION MERCADOS;3;0;3
1436;ADMON DE VENTAS;3;0;3
1437;NEGOCIACION INTERNACIONA;2;0;2
1438;DISTRIB. FISICA INTERNA.;2;0;2
1440;CONTAB FINANCIERA I;4;0;4
1441;CONTAB. FINANCIERA II;3;0;3
1442;CONTABILIDAD GENERAL;3;0;3
1445;CONTABILIDAD DE COSTOS;4;0;3
1447;ANALISIS DE COSTOS;3;0;2
1450;INTR A LA ADMON DE EMP.;2;0;0
1451;CONTROL GERENCIAL;3;0;3
1454;AUDITORIA ADMINISTRATIVA;2;0;2
1461;FINANZAS;3;0;2
1462;FINANZAS I;4;0;4
1463;FINANZAS II;4;0;4
1466;FORM Y EVAL DE PROYECTOS;4;0;4
1467;MERCADOS DE VALORES;2;0;2
1468;SISTEMA FINANCIERO COL.;3;0;3
1470;GESTION PUBLICA;2;0;2
1475;MERCADEO INTERNACIONAL;2;0;2
1481;SEM.PLAN.VIDA-PROFESION;1;0;0
1482;SEMINARIO DE DIRECCION;2;0;2
1483;PRESUPUESTO;2;0;2
1484;SEM DES CAPACIDAD EMPRES;2;0;2
1485;SEM TEMA ADMVOS I;2;0;2
1486;GERENCIA CONTEMPORANEA;2;0;2
1487;SEM TEMA FINANCIEROS I;2;0;2
1488;SEM TEMA FINANCIEROS II;2;0;2
1489;SEM TEMAS ADMVOS II;2;0;2
1490;BALANCE SOCIAL;2;0;2
1491;SEM AJUSTE POR INFLACION;2;0;2
