CODEST;CODASG;GRUASG;CODPRG
832132153;2991;1;13
842132457;9043;1;13
842132457;9044;1;13
842132457;9045;1;13
851111548;2442;1;11
851111548;2642;1;11
851111548;9053;1;11
851111548;9054;1;11
851111548;9056;1;11
851111798;2642;1;11
851111798;4736;2;11
851111798;4792;7;11
851111798;9063;1;11
851111798;9064;1;11
851111798;9065;1;11
852132205;2991;1;13
852132326;9043;1;13
852132326;9044;1;13
852132326;9045;1;13
861100205;2636;3;10
861100205;2638;1;10
861100205;2651;7;10
861100205;4792;5;10
861100205;9050;1;10
861100205;9051;1;10
861100205;9055;1;10
862132541;2991;1;13
871111054;9053;1;11
871111054;9054;1;11
871111054;9056;1;11
871133453;9043;1;13
871133453;9044;1;13
871133453;9045;1;13
871144624;2339;1;14
871144624;2341;1;14
871144624;2761;1;14
871144624;4792;5;14
872131627;2991;1;13
881111108;2491;1;11
881111366;2441;1;11
881111366;2490;1;11
881111366;2536;1;11
881111366;2538;1;11
881111366;2541;1;11
881111366;2565;1;11
881111366;2636;4;11
881111366;2642;1;11
881133507;2983;1;13
881133507;2991;1;13
881144501;2390;1;14
881144559;4792;3;14
881306206;5136;1;30
881306206;5151;1;30
881306206;5168;1;30
881306206;5198;1;30
881306206;5235;1;30
881306206;5239;1;30
881306206;5243;1;30
881306206;5253;1;30
882111084;2441;1;11
882111084;2480;1;11
882111084;2532;1;11
882111084;2558;1;11
882111084;4655;1;11
882111084;4736;2;11
882111269;9043;1;11
882111269;9044;1;11
882111269;9045;1;11
882111308;2491;1;11
882121496;2758;1;12
882121496;2761;1;12
882121496;2873;1;12
882121496;4792;7;12
882121496;9053;1;12
882121496;9054;1;12
882121496;9056;1;12
882132103;2699;1;13
882132152;2934;1;13
882132152;9044;1;13
882132249;2991;1;13
882132257;1418;5;13
882132257;2670;1;13
882132257;2942;1;13
882132257;4735;3;13
882132337;2991;1;13
882132345;2934;1;13
882132345;2954;1;13
882132345;2983;1;13
882132345;2991;1;13
882143188;1323;1;14
882143188;2375;1;14
882143188;2384;1;14
882143188;2385;1;14
882143428;2334;1;14
